,count,mean,std,min,25%,50%,75%,max
Brain,18989.0,3.2523414224901095,2.6525877343622937,0.0,0.17221866529830107,3.2981333371077253,5.295245475156725,16.01549345759531
Univ Stratagene,18989.0,3.2838584919670755,2.6559940214995152,0.0,0.46182188811981223,3.296883178188675,5.31200799944111,12.968097953979361
Univ DriverMap,18989.0,3.120957905242323,2.735124657732114,0.0,0.0,3.0736180362076673,5.251522175907596,12.964945474366706
Univ Clontech,18989.0,3.6665210445932033,2.4607473141259626,0.0,1.6518897898881333,3.776725160950008,5.480442862510302,14.101351987346
Univ BioChain,18989.0,2.519189415363638,2.4670914989309423,0.0,0.0,2.1536951034827023,4.2509615735332185,15.636018461619543
Univ Rare,18989.0,3.548106727458141,2.4577660934098917,0.0,1.5218397305980353,3.633640449901366,5.342608077559401,14.509156432503849
WB-Activated,18989.0,2.515885897079155,2.690457834349346,0.0,0.0,1.802284222790845,4.505567048980162,14.58354705437501
WB-Disease,18989.0,2.9291149518304147,2.7867484762022583,0.0,0.0,2.7169689521081786,5.15819966726974,13.243998060210913
Univ ImmuneT10,18989.0,3.346877332141806,2.4924285787339544,0.0,1.10988872648142,3.401712373516297,5.164351859866744,15.196160245027682
Hemat System3,18989.0,3.087274739438121,2.56330552811497,0.0,0.33247307384335284,3.0362536318192395,4.967634364181236,14.764223683489881
NegC_B67,18989.0,2.594155073581898,2.9387005055033724,0.0,0.0,0.0,5.526112642882335,17.96888049996614
